oComm,Bronx County,Central Harlem,Central Park,"Clinton, Chelsea",East Harlem,"East Village, Noho, Chinatown","Hamilton heights, Morningside heights",Kings County,"Midtown, Flatiron",New Jersey,Queens County,"Tribeca, Battery Park, Financial","Turtle Bay, Murray Hill, Gramercy",Upper East Side,"Upper West Side, Lincoln Square","Washington heights, Inwood","West Village, Greenwich, Soho"
Bronx County,209316.0,4834.0,45.0,15004.0,8092.0,7127.0,4739.0,19786.0,54106.0,6181.0,21464.0,30390.0,18119.0,14405.0,9559.0,9886.0,13967.0
Central Harlem,3786.0,3812.0,0.0,3035.0,1773.0,1207.0,1408.0,2034.0,9008.0,508.0,1874.0,5253.0,2465.0,1597.0,1879.0,780.0,2741.0
Central Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Clinton, Chelsea",745.0,215.0,0.0,8040.0,340.0,996.0,534.0,1942.0,20379.0,909.0,1213.0,6853.0,4435.0,2191.0,1682.0,685.0,5632.0
East Harlem,2586.0,1141.0,10.0,2362.0,4372.0,1661.0,851.0,1671.0,8894.0,254.0,1887.0,4695.0,3501.0,3713.0,1445.0,555.0,2818.0
"East Village, Noho, Chinatown",1102.0,465.0,0.0,4035.0,549.0,8143.0,458.0,4756.0,17545.0,769.0,2356.0,10432.0,5764.0,1762.0,987.0,419.0,7690.0
"Hamilton heights, Morningside heights",2998.0,912.0,0.0,2003.0,835.0,999.0,6497.0,1358.0,8379.0,559.0,1342.0,4075.0,2131.0,1825.0,2156.0,1768.0,2744.0
Kings County,13369.0,2576.0,34.0,29301.0,5234.0,18571.0,4667.0,487005.0,124811.0,9419.0,68558.0,85248.0,37989.0,21621.0,9826.0,4679.0,42894.0
"Midtown, Flatiron",393.0,35.0,0.0,1542.0,174.0,487.0,223.0,634.0,16174.0,549.0,330.0,4242.0,3570.0,1101.0,535.0,118.0,2320.0
New Jersey,8182.0,626.0,0.0,9623.0,1825.0,2937.0,1337.0,6120.0,55438.0,407596.0,6419.0,26881.0,13987.0,5402.0,2776.0,4148.0,10544.0
Queens County,20923.0,2765.0,100.0,25916.0,6854.0,14374.0,4049.0,84294.0,129198.0,8831.0,400322.0,67345.0,39776.0,30761.0,11722.0,5050.0,29148.0
"Tribeca, Battery Park, Financial",175.0,10.0,0.0,913.0,145.0,786.0,405.0,900.0,9765.0,484.0,399.0,9186.0,1926.0,554.0,320.0,135.0,3065.0
"Turtle Bay, Murray Hill, Gramercy",955.0,145.0,0.0,2664.0,323.0,1523.0,133.0,1770.0,29353.0,1414.0,1602.0,9506.0,13048.0,3215.0,670.0,294.0,4367.0
Upper East Side,2330.0,275.0,15.0,3766.0,2004.0,2004.0,550.0,1963.0,39190.0,1620.0,2477.0,15675.0,12351.0,17739.0,1701.0,678.0,5859.0
"Upper West Side, Lincoln Square",2272.0,654.0,0.0,6629.0,1355.0,1273.0,2200.0,2547.0,35044.0,2108.0,2299.0,11053.0,6689.0,5198.0,10215.0,2500.0,5731.0
"Washington heights, Inwood",8239.0,1243.0,10.0,4585.0,1751.0,1497.0,2196.0,2521.0,15197.0,2895.0,2845.0,7062.0,4100.0,3002.0,3615.0,13596.0,3811.0
"West Village, Greenwich, Soho",445.0,155.0,0.0,2706.0,275.0,1374.0,500.0,1442.0,16334.0,1049.0,923.0,5873.0,3687.0,1494.0,732.0,320.0,10896.0
