,oComm,dComm,Means of Transportation 18,Workers 16 and Over,Unnamed: 5
0,Bronx County,Bronx County,Bus,58278.0,0.0
1,Bronx County,Bronx County,"Car, truck, van, motorbike",78570.0,0.0
2,Bronx County,Bronx County,Cycle,1013.0,0.0
3,Bronx County,Bronx County,Rail,1391.0,0.0
4,Bronx County,Bronx County,Subway,31428.0,0.0
5,Bronx County,Bronx County,Taxi,3457.0,0.0
6,Bronx County,Bronx County,Walk,35179.0,0.0
7,Bronx County,Central Harlem,Bus,591.0,0.0
8,Bronx County,Central Harlem,"Car, truck, van, motorbike",1421.0,0.0
9,Bronx County,Central Harlem,Cycle,30.0,0.0
10,Bronx County,Central Harlem,Rail,183.0,0.0
11,Bronx County,Central Harlem,Subway,2464.0,0.0
12,Bronx County,Central Harlem,Taxi,65.0,0.0
13,Bronx County,Central Harlem,Walk,80.0,0.0
14,Bronx County,Central Park,"Car, truck, van, motorbike",15.0,0.0
15,Bronx County,Central Park,Subway,30.0,0.0
16,Bronx County,"Clinton, Chelsea",Bus,953.0,0.0
17,Bronx County,"Clinton, Chelsea","Car, truck, van, motorbike",2962.0,0.0
18,Bronx County,"Clinton, Chelsea",Rail,274.0,0.0
19,Bronx County,"Clinton, Chelsea",Subway,10540.0,0.0
20,Bronx County,"Clinton, Chelsea",Taxi,210.0,0.0
21,Bronx County,"Clinton, Chelsea",Walk,65.0,0.0
22,Bronx County,East Harlem,Bus,752.0,0.0
23,Bronx County,East Harlem,"Car, truck, van, motorbike",1771.0,0.0
24,Bronx County,East Harlem,Cycle,30.0,0.0
25,Bronx County,East Harlem,Rail,45.0,0.0
26,Bronx County,East Harlem,Subway,5331.0,0.0
27,Bronx County,East Harlem,Taxi,98.0,0.0
28,Bronx County,East Harlem,Walk,65.0,0.0
29,Bronx County,"East Village, Noho, Chinatown",Bus,669.0,0.0
30,Bronx County,"East Village, Noho, Chinatown","Car, truck, van, motorbike",962.0,0.0
31,Bronx County,"East Village, Noho, Chinatown",Rail,165.0,0.0
32,Bronx County,"East Village, Noho, Chinatown",Subway,5226.0,0.0
33,Bronx County,"East Village, Noho, Chinatown",Taxi,95.0,0.0
34,Bronx County,"East Village, Noho, Chinatown",Walk,10.0,0.0
35,Bronx County,"Hamilton heights, Morningside heights",Bus,638.0,0.0
36,Bronx County,"Hamilton heights, Morningside heights","Car, truck, van, motorbike",1230.0,0.0
37,Bronx County,"Hamilton heights, Morningside heights",Rail,30.0,0.0
38,Bronx County,"Hamilton heights, Morningside heights",Subway,2736.0,0.0
39,Bronx County,"Hamilton heights, Morningside heights",Taxi,20.0,0.0
40,Bronx County,"Hamilton heights, Morningside heights",Walk,85.0,0.0
41,Bronx County,Kings County,Bus,1557.0,0.0
42,Bronx County,Kings County,"Car, truck, van, motorbike",4015.0,0.0
43,Bronx County,Kings County,Rail,434.0,0.0
44,Bronx County,Kings County,Subway,13560.0,0.0
45,Bronx County,Kings County,Taxi,95.0,0.0
46,Bronx County,Kings County,Walk,125.0,0.0
47,Bronx County,"Midtown, Flatiron",Bus,6049.0,0.0
48,Bronx County,"Midtown, Flatiron","Car, truck, van, motorbike",5482.0,0.0
49,Bronx County,"Midtown, Flatiron",Cycle,55.0,0.0
50,Bronx County,"Midtown, Flatiron",Rail,2233.0,0.0
51,Bronx County,"Midtown, Flatiron",Subway,39854.0,0.0
52,Bronx County,"Midtown, Flatiron",Taxi,104.0,0.0
53,Bronx County,"Midtown, Flatiron",Walk,329.0,0.0
54,Bronx County,New Jersey,Bus,960.0,0.0
55,Bronx County,New Jersey,"Car, truck, van, motorbike",3938.0,0.0
56,Bronx County,New Jersey,Rail,140.0,0.0
57,Bronx County,New Jersey,Subway,1073.0,0.0
58,Bronx County,New Jersey,Walk,70.0,0.0
59,Bronx County,Queens County,Bus,2330.0,0.0
60,Bronx County,Queens County,"Car, truck, van, motorbike",8527.0,0.0
61,Bronx County,Queens County,Cycle,15.0,0.0
62,Bronx County,Queens County,Rail,470.0,0.0
63,Bronx County,Queens County,Subway,9914.0,0.0
64,Bronx County,Queens County,Taxi,135.0,0.0
65,Bronx County,Queens County,Walk,73.0,0.0
66,Bronx County,"Tribeca, Battery Park, Financial",Bus,3068.0,0.0
67,Bronx County,"Tribeca, Battery Park, Financial","Car, truck, van, motorbike",4052.0,0.0
68,Bronx County,"Tribeca, Battery Park, Financial",Cycle,19.0,0.0
69,Bronx County,"Tribeca, Battery Park, Financial",Rail,920.0,0.0
70,Bronx County,"Tribeca, Battery Park, Financial",Subway,21761.0,0.0
71,Bronx County,"Tribeca, Battery Park, Financial",Taxi,355.0,0.0
72,Bronx County,"Tribeca, Battery Park, Financial",Walk,215.0,0.0
73,Bronx County,"Turtle Bay, Murray Hill, Gramercy",Bus,1901.0,0.0
74,Bronx County,"Turtle Bay, Murray Hill, Gramercy","Car, truck, van, motorbike",2217.0,0.0
75,Bronx County,"Turtle Bay, Murray Hill, Gramercy",Cycle,50.0,0.0
76,Bronx County,"Turtle Bay, Murray Hill, Gramercy",Rail,788.0,0.0
77,Bronx County,"Turtle Bay, Murray Hill, Gramercy",Subway,13044.0,0.0
78,Bronx County,"Turtle Bay, Murray Hill, Gramercy",Taxi,15.0,0.0
79,Bronx County,"Turtle Bay, Murray Hill, Gramercy",Walk,104.0,0.0
80,Bronx County,Upper East Side,Bus,1715.0,0.0
81,Bronx County,Upper East Side,"Car, truck, van, motorbike",1865.0,0.0
82,Bronx County,Upper East Side,Cycle,60.0,0.0
83,Bronx County,Upper East Side,Rail,341.0,0.0
84,Bronx County,Upper East Side,Subway,10240.0,0.0
85,Bronx County,Upper East Side,Taxi,55.0,0.0
86,Bronx County,Upper East Side,Walk,129.0,0.0
87,Bronx County,"Upper West Side, Lincoln Square",Bus,1052.0,0.0
88,Bronx County,"Upper West Side, Lincoln Square","Car, truck, van, motorbike",1352.0,0.0
89,Bronx County,"Upper West Side, Lincoln Square",Cycle,35.0,0.0
90,Bronx County,"Upper West Side, Lincoln Square",Rail,150.0,0.0
91,Bronx County,"Upper West Side, Lincoln Square",Subway,6910.0,0.0
92,Bronx County,"Upper West Side, Lincoln Square",Walk,60.0,0.0
93,Bronx County,"Washington heights, Inwood",Bus,3027.0,0.0
94,Bronx County,"Washington heights, Inwood","Car, truck, van, motorbike",3099.0,0.0
95,Bronx County,"Washington heights, Inwood",Rail,59.0,0.0
