oNhood,Battery Park City-Lower Manhattan,Bronx County,Central Harlem North-Polo Grounds,Central Harlem South,Chinatown,Clinton,East Harlem North,East Harlem South,East Village,Gramercy,Hamilton Heights,Hudson Yards-Chelsea-Flatiron-Union Square,Kings County,Lenox Hill-Roosevelt Island,Lincoln Square,Lower East Side,Manhattanville,Marble Hill-Inwood,Midtown-Midtown South,Morningside Heights,Murray Hill-Kips Bay,New Jersey,Queens County,SoHo-TriBeCa-Civic Center-Little Italy,Stuyvesant Town-Cooper Village,Turtle Bay-East Midtown,Upper East Side-Carnegie Hill,Upper West Side,Washington Heights North,Washington Heights South,West Village,Yorkville,park-cemetery-etc-Manhattan
Battery Park City-Lower Manhattan,4979.0,80.0,0.0,0.0,454.0,135.0,25.0,95.0,118.0,289.0,0.0,1364.0,398.0,160.0,155.0,84.0,25.0,0.0,4500.0,255.0,635.0,340.0,175.0,2208.0,0.0,1257.0,184.0,100.0,0.0,30.0,845.0,40.0,0.0
Bronx County,16905.0,207922.0,2924.0,2114.0,3366.0,5267.0,3733.0,3828.0,2738.0,4367.0,1084.0,14845.0,19751.0,4794.0,4862.0,2469.0,1234.0,2438.0,38401.0,2575.0,9458.0,6136.0,21424.0,15362.0,390.0,12334.0,7099.0,5778.0,2715.0,4668.0,7239.0,2437.0,3639.0
Central Harlem North-Polo Grounds,1585.0,2655.0,1874.0,965.0,594.0,555.0,689.0,603.0,305.0,569.0,365.0,1937.0,1462.0,445.0,584.0,90.0,175.0,75.0,3445.0,295.0,935.0,319.0,1443.0,1635.0,0.0,911.0,355.0,536.0,160.0,283.0,948.0,210.0,350.0
Central Harlem South,1340.0,1198.0,259.0,888.0,293.0,445.0,218.0,339.0,200.0,268.0,55.0,1124.0,627.0,257.0,374.0,100.0,209.0,15.0,3106.0,358.0,559.0,193.0,481.0,1136.0,0.0,712.0,335.0,675.0,55.0,237.0,669.0,50.0,134.0
Chinatown,1888.0,130.0,115.0,20.0,2242.0,150.0,65.0,49.0,235.0,454.0,10.0,1365.0,1449.0,85.0,240.0,625.0,35.0,60.0,3216.0,85.0,809.0,224.0,823.0,2574.0,35.0,915.0,235.0,140.0,40.0,30.0,890.0,110.0,170.0
Clinton,2010.0,255.0,15.0,20.0,345.0,1977.0,35.0,65.0,210.0,430.0,15.0,2230.0,890.0,264.0,975.0,65.0,0.0,0.0,7753.0,265.0,784.0,279.0,764.0,1752.0,0.0,1835.0,534.0,260.0,20.0,360.0,928.0,95.0,30.0
East Harlem North,1317.0,1251.0,334.0,355.0,135.0,363.0,994.0,490.0,394.0,285.0,79.0,913.0,813.0,594.0,395.0,215.0,154.0,130.0,2722.0,244.0,775.0,145.0,846.0,1122.0,35.0,864.0,379.0,449.0,100.0,85.0,757.0,390.0,165.0
East Harlem South,1699.0,1233.0,253.0,184.0,359.0,813.0,411.0,2212.0,390.0,423.0,100.0,1249.0,803.0,629.0,344.0,293.0,95.0,60.0,3245.0,174.0,1033.0,105.0,898.0,1203.0,25.0,1388.0,1107.0,372.0,60.0,70.0,838.0,549.0,139.0
East Village,2039.0,345.0,55.0,70.0,474.0,280.0,25.0,0.0,1659.0,529.0,0.0,2398.0,1314.0,200.0,364.0,400.0,0.0,15.0,5089.0,140.0,985.0,225.0,425.0,1875.0,95.0,1760.0,409.0,95.0,15.0,45.0,1423.0,89.0,50.0
Gramercy,1469.0,144.0,0.0,0.0,75.0,185.0,0.0,110.0,230.0,875.0,0.0,1665.0,325.0,195.0,75.0,100.0,0.0,0.0,3645.0,25.0,1115.0,235.0,188.0,974.0,35.0,1550.0,265.0,110.0,45.0,0.0,960.0,0.0,120.0
Hamilton Heights,1208.0,1702.0,375.0,224.0,425.0,475.0,269.0,220.0,289.0,289.0,739.0,1274.0,742.0,445.0,404.0,140.0,335.0,85.0,2891.0,379.0,854.0,385.0,825.0,897.0,0.0,670.0,300.0,614.0,289.0,645.0,964.0,145.0,169.0
Hudson Yards-Chelsea-Flatiron-Union Square,2870.0,567.0,130.0,50.0,309.0,699.0,95.0,149.0,298.0,687.0,0.0,6552.0,1219.0,370.0,440.0,94.0,15.0,10.0,8789.0,400.0,1333.0,690.0,547.0,3398.0,0.0,2400.0,919.0,369.0,40.0,225.0,2536.0,240.0,69.0
Kings County,51266.0,13354.0,1486.0,1185.0,11942.0,8443.0,1981.0,2963.0,5986.0,10464.0,612.0,38198.0,487005.0,7885.0,6635.0,5701.0,1276.0,1088.0,87418.0,3064.0,20092.0,9419.0,68558.0,45780.0,858.0,24442.0,10517.0,5092.0,1346.0,2096.0,21343.0,3219.0,5088.0
Lenox Hill-Roosevelt Island,3540.0,739.0,85.0,25.0,305.0,420.0,34.0,450.0,360.0,480.0,20.0,2460.0,729.0,5415.0,375.0,230.0,75.0,10.0,9841.0,90.0,2194.0,660.0,1038.0,2569.0,15.0,4600.0,1894.0,290.0,50.0,209.0,1215.0,425.0,65.0
Lincoln Square,2485.0,589.0,39.0,10.0,183.0,685.0,50.0,190.0,110.0,270.0,0.0,1944.0,494.0,545.0,2800.0,85.0,15.0,10.0,8776.0,389.0,900.0,760.0,604.0,1284.0,0.0,2423.0,709.0,490.0,55.0,440.0,674.0,115.0,65.0
Lower East Side,2464.0,627.0,35.0,180.0,1453.0,490.0,105.0,305.0,514.0,641.0,0.0,2141.0,2197.0,185.0,304.0,1866.0,85.0,45.0,4170.0,123.0,1209.0,344.0,1203.0,2626.0,90.0,946.0,314.0,109.0,75.0,129.0,1727.0,170.0,115.0
Manhattanville,510.0,659.0,80.0,29.0,45.0,188.0,110.0,75.0,60.0,110.0,110.0,384.0,237.0,89.0,254.0,40.0,515.0,20.0,1213.0,448.0,130.0,60.0,237.0,540.0,0.0,385.0,185.0,130.0,95.0,140.0,419.0,70.0,60.0
Marble Hill-Inwood,894.0,3263.0,114.0,110.0,184.0,319.0,80.0,233.0,170.0,190.0,104.0,1339.0,594.0,265.0,633.0,119.0,90.0,1463.0,2333.0,469.0,303.0,665.0,514.0,795.0,40.0,724.0,424.0,489.0,650.0,859.0,612.0,95.0,118.0
Midtown-Midtown South,1317.0,184.0,15.0,20.0,99.0,254.0,25.0,0.0,115.0,335.0,0.0,1032.0,224.0,98.0,290.0,58.0,4.0,0.0,5464.0,119.0,878.0,364.0,169.0,672.0,25.0,1409.0,284.0,88.0,20.0,39.0,470.0,15.0,0.0
Morningside Heights,1065.0,891.0,104.0,180.0,90.0,349.0,135.0,236.0,115.0,165.0,15.0,1017.0,669.0,368.0,670.0,245.0,120.0,25.0,3109.0,4651.0,439.0,184.0,470.0,1029.0,30.0,626.0,463.0,914.0,110.0,669.0,842.0,75.0,140.0
Murray Hill-Kips Bay,2644.0,290.0,15.0,85.0,99.0,240.0,54.0,84.0,179.0,960.0,0.0,2359.0,801.0,325.0,320.0,90.0,10.0,35.0,8232.0,49.0,3624.0,424.0,713.0,1768.0,25.0,3278.0,765.0,260.0,50.0,29.0,775.0,49.0,19.0
