,oNhood,dNhood,Means of Transportation 18,Workers 16 and Over,Unnamed: 5
0,Battery Park City-Lower Manhattan,Battery Park City-Lower Manhattan,Bus,15.0,0.0
1,Battery Park City-Lower Manhattan,Battery Park City-Lower Manhattan,"Car, truck, van, motorbike",145.0,0.0
2,Battery Park City-Lower Manhattan,Battery Park City-Lower Manhattan,Cycle,15.0,0.0
3,Battery Park City-Lower Manhattan,Battery Park City-Lower Manhattan,Subway,349.0,0.0
4,Battery Park City-Lower Manhattan,Battery Park City-Lower Manhattan,Taxi,50.0,0.0
5,Battery Park City-Lower Manhattan,Battery Park City-Lower Manhattan,Walk,4405.0,0.0
6,Battery Park City-Lower Manhattan,Bronx County,"Car, truck, van, motorbike",20.0,0.0
7,Battery Park City-Lower Manhattan,Bronx County,Subway,60.0,0.0
8,Battery Park City-Lower Manhattan,Chinatown,Bus,25.0,0.0
9,Battery Park City-Lower Manhattan,Chinatown,"Car, truck, van, motorbike",30.0,0.0
10,Battery Park City-Lower Manhattan,Chinatown,Cycle,10.0,0.0
11,Battery Park City-Lower Manhattan,Chinatown,Subway,49.0,0.0
12,Battery Park City-Lower Manhattan,Chinatown,Walk,340.0,0.0
13,Battery Park City-Lower Manhattan,Clinton,Bus,25.0,0.0
14,Battery Park City-Lower Manhattan,Clinton,"Car, truck, van, motorbike",10.0,0.0
15,Battery Park City-Lower Manhattan,Clinton,Subway,100.0,0.0
16,Battery Park City-Lower Manhattan,East Harlem North,Bus,25.0,0.0
17,Battery Park City-Lower Manhattan,East Harlem South,Bus,10.0,0.0
18,Battery Park City-Lower Manhattan,East Harlem South,Subway,85.0,0.0
19,Battery Park City-Lower Manhattan,East Village,Bus,40.0,0.0
20,Battery Park City-Lower Manhattan,East Village,Subway,63.0,0.0
21,Battery Park City-Lower Manhattan,East Village,Taxi,15.0,0.0
22,Battery Park City-Lower Manhattan,Gramercy,Bus,19.0,0.0
23,Battery Park City-Lower Manhattan,Gramercy,Subway,180.0,0.0
24,Battery Park City-Lower Manhattan,Gramercy,Taxi,15.0,0.0
25,Battery Park City-Lower Manhattan,Gramercy,Walk,75.0,0.0
26,Battery Park City-Lower Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,Bus,65.0,0.0
27,Battery Park City-Lower Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,"Car, truck, van, motorbike",30.0,0.0
28,Battery Park City-Lower Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,Subway,1054.0,0.0
29,Battery Park City-Lower Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,Taxi,115.0,0.0
30,Battery Park City-Lower Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,Walk,100.0,0.0
31,Battery Park City-Lower Manhattan,Kings County,Bus,24.0,0.0
32,Battery Park City-Lower Manhattan,Kings County,"Car, truck, van, motorbike",70.0,0.0
33,Battery Park City-Lower Manhattan,Kings County,Subway,284.0,0.0
34,Battery Park City-Lower Manhattan,Kings County,Taxi,20.0,0.0
35,Battery Park City-Lower Manhattan,Lenox Hill-Roosevelt Island,"Car, truck, van, motorbike",10.0,0.0
36,Battery Park City-Lower Manhattan,Lenox Hill-Roosevelt Island,Subway,105.0,0.0
37,Battery Park City-Lower Manhattan,Lenox Hill-Roosevelt Island,Walk,45.0,0.0
38,Battery Park City-Lower Manhattan,Lincoln Square,Subway,145.0,0.0
39,Battery Park City-Lower Manhattan,Lincoln Square,Walk,10.0,0.0
40,Battery Park City-Lower Manhattan,Lower East Side,Bus,40.0,0.0
41,Battery Park City-Lower Manhattan,Lower East Side,"Car, truck, van, motorbike",10.0,0.0
42,Battery Park City-Lower Manhattan,Lower East Side,Subway,14.0,0.0
43,Battery Park City-Lower Manhattan,Lower East Side,Taxi,20.0,0.0
44,Battery Park City-Lower Manhattan,Manhattanville,Subway,25.0,0.0
45,Battery Park City-Lower Manhattan,Midtown-Midtown South,Bus,45.0,0.0
46,Battery Park City-Lower Manhattan,Midtown-Midtown South,"Car, truck, van, motorbike",40.0,0.0
47,Battery Park City-Lower Manhattan,Midtown-Midtown South,Cycle,65.0,0.0
48,Battery Park City-Lower Manhattan,Midtown-Midtown South,Rail,24.0,0.0
49,Battery Park City-Lower Manhattan,Midtown-Midtown South,Subway,3948.0,0.0
50,Battery Park City-Lower Manhattan,Midtown-Midtown South,Taxi,103.0,0.0
51,Battery Park City-Lower Manhattan,Midtown-Midtown South,Walk,275.0,0.0
52,Battery Park City-Lower Manhattan,Morningside Heights,"Car, truck, van, motorbike",15.0,0.0
53,Battery Park City-Lower Manhattan,Morningside Heights,Subway,165.0,0.0
54,Battery Park City-Lower Manhattan,Morningside Heights,Walk,75.0,0.0
55,Battery Park City-Lower Manhattan,Murray Hill-Kips Bay,Bus,30.0,0.0
56,Battery Park City-Lower Manhattan,Murray Hill-Kips Bay,"Car, truck, van, motorbike",30.0,0.0
57,Battery Park City-Lower Manhattan,Murray Hill-Kips Bay,Subway,475.0,0.0
58,Battery Park City-Lower Manhattan,Murray Hill-Kips Bay,Taxi,15.0,0.0
59,Battery Park City-Lower Manhattan,Murray Hill-Kips Bay,Walk,85.0,0.0
60,Battery Park City-Lower Manhattan,New Jersey,Bus,30.0,0.0
61,Battery Park City-Lower Manhattan,New Jersey,"Car, truck, van, motorbike",60.0,0.0
62,Battery Park City-Lower Manhattan,New Jersey,Rail,20.0,0.0
63,Battery Park City-Lower Manhattan,New Jersey,Subway,215.0,0.0
64,Battery Park City-Lower Manhattan,New Jersey,Walk,15.0,0.0
65,Battery Park City-Lower Manhattan,Queens County,"Car, truck, van, motorbike",30.0,0.0
66,Battery Park City-Lower Manhattan,Queens County,Subway,145.0,0.0
67,Battery Park City-Lower Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,Bus,75.0,0.0
68,Battery Park City-Lower Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,"Car, truck, van, motorbike",50.0,0.0
69,Battery Park City-Lower Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,Subway,925.0,0.0
70,Battery Park City-Lower Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,Taxi,119.0,0.0
71,Battery Park City-Lower Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,Walk,1039.0,0.0
72,Battery Park City-Lower Manhattan,Turtle Bay-East Midtown,Bus,10.0,0.0
73,Battery Park City-Lower Manhattan,Turtle Bay-East Midtown,"Car, truck, van, motorbike",25.0,0.0
74,Battery Park City-Lower Manhattan,Turtle Bay-East Midtown,Subway,1037.0,0.0
75,Battery Park City-Lower Manhattan,Turtle Bay-East Midtown,Taxi,80.0,0.0
76,Battery Park City-Lower Manhattan,Turtle Bay-East Midtown,Walk,105.0,0.0
77,Battery Park City-Lower Manhattan,Upper East Side-Carnegie Hill,Bus,15.0,0.0
78,Battery Park City-Lower Manhattan,Upper East Side-Carnegie Hill,Subway,159.0,0.0
79,Battery Park City-Lower Manhattan,Upper East Side-Carnegie Hill,Taxi,10.0,0.0
80,Battery Park City-Lower Manhattan,Upper West Side,"Car, truck, van, motorbike",50.0,0.0
81,Battery Park City-Lower Manhattan,Upper West Side,Subway,50.0,0.0
82,Battery Park City-Lower Manhattan,Washington Heights South,Bus,10.0,0.0
83,Battery Park City-Lower Manhattan,Washington Heights South,Subway,10.0,0.0
84,Battery Park City-Lower Manhattan,Washington Heights South,Walk,10.0,0.0
85,Battery Park City-Lower Manhattan,West Village,Bus,135.0,0.0
86,Battery Park City-Lower Manhattan,West Village,Cycle,55.0,0.0
87,Battery Park City-Lower Manhattan,West Village,Subway,545.0,0.0
88,Battery Park City-Lower Manhattan,West Village,Walk,110.0,0.0
89,Battery Park City-Lower Manhattan,Yorkville,Subway,15.0,0.0
90,Battery Park City-Lower Manhattan,Yorkville,Walk,25.0,0.0
91,Bronx County,Battery Park City-Lower Manhattan,Bus,1508.0,0.0
92,Bronx County,Battery Park City-Lower Manhattan,"Car, truck, van, motorbike",1959.0,0.0
93,Bronx County,Battery Park City-Lower Manhattan,Cycle,4.0,0.0
94,Bronx County,Battery Park City-Lower Manhattan,Rail,492.0,0.0
95,Bronx County,Battery Park City-Lower Manhattan,Subway,12857.0,0.0
96,Bronx County,Battery Park City-Lower Manhattan,Walk,85.0,0.0
97,Bronx County,Bronx County,Bus,57679.0,0.0
98,Bronx County,Bronx County,"Car, truck, van, motorbike",78145.0,0.0
99,Bronx County,Bronx County,Cycle,978.0,0.0
100,Bronx County,Bronx County,Rail,1391.0,0.0
101,Bronx County,Bronx County,Subway,31283.0,0.0
102,Bronx County,Bronx County,Taxi,3457.0,0.0
103,Bronx County,Bronx County,Walk,34989.0,0.0
104,Bronx County,Central Harlem North-Polo Grounds,Bus,393.0,0.0
