,hh_income,hh_lifeCycle,occupation_type,age,motif_H,motif_HOH,motif_HOOH,motif_HOWH,motif_HOWOH,motif_HWH,motif_HWOH,motif_HWOWH,motif_HWWH,work_block,home_block,third_places_block
0,6,10,1,41,0,0,0,0,0,1,0,0,0,1,12,
1,6,10,1,44,0,0,0,0,0,1,0,0,0,1,26,
2,10,2,1,31,0,0,0,0,0,0,1,0,0,1,2,1.0
3,8,2,1,63,0,1,0,0,0,0,0,0,0,1,10,4.0
4,6,2,1,58,0,0,0,0,0,0,1,0,0,1,27,29.0
5,7,10,1,44,0,0,0,0,0,0,0,0,1,1,12,
6,8,2,1,25,0,0,0,0,1,0,0,0,0,1,33,7.0
7,9,2,1,46,0,0,0,0,0,1,0,0,0,1,18,
8,4,1,1,50,0,0,1,0,0,0,0,0,0,1,23,7.0
9,8,10,1,22,0,0,0,0,0,1,0,0,0,1,11,
10,7,10,1,45,0,0,1,0,0,0,0,0,0,1,23,15.0
11,10,10,2,57,0,0,1,0,0,0,0,0,0,1,31,14.0
12,3,4,2,35,0,0,1,0,0,0,0,0,0,1,18,31.0
13,5,2,2,30,0,0,1,0,0,0,0,0,0,1,34,15.0
14,6,6,2,42,0,1,0,0,0,0,0,0,0,1,9,9.0
15,7,1,2,56,0,0,0,0,0,0,0,1,0,1,9,1.0
16,11,2,2,59,0,0,0,1,0,0,0,0,0,1,2,21.0
17,4,10,2,50,0,0,0,0,0,1,0,0,0,1,3,
18,10,6,2,49,0,0,0,1,0,0,0,0,0,1,23,25.0
19,7,2,2,49,0,1,0,0,0,0,0,0,0,1,21,33.0
20,7,1,2,56,0,0,0,0,0,0,0,1,0,1,10,24.0
21,11,6,2,43,0,1,0,0,0,0,0,0,0,1,3,22.0
22,6,1,2,60,0,0,0,0,0,0,1,0,0,1,6,4.0
23,5,10,2,68,0,1,0,0,0,0,0,0,0,1,24,9.0
24,7,1,2,60,0,0,0,1,0,0,0,0,0,1,26,33.0
25,5,7,2,57,0,0,0,0,0,0,1,0,0,1,24,5.0
26,2,4,2,39,0,0,0,1,0,0,0,0,0,1,23,31.0
27,11,2,2,55,0,0,0,0,0,0,1,0,0,1,31,2.0
